Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2000-03-15,Say My Name,Destiny's Child,1,14,1,13,#
2000-03-15,Amazed,Lonestar,2,1,1,33,#
2000-03-15,Maria Maria,Santana Featuring The Product G&B,3,2,2,6,#
2000-03-15,Breathe,Faith Hill,4,3,3,20,#
2000-03-15,Bye Bye Bye,*NSYNC,5,6,5,8,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-03-15,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,7,6,12,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-03-15,That's The Way It Is,Celine Dion,7,8,6,19,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-03-15,I Knew I Loved You,Savage Garden,8,4,1,22,#
2000-03-15,Get It On Tonite,Montell Jordan,9,5,4,22,#
2000-03-15,Smooth,Santana Featuring Rob Thomas,10,10,1,34,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-03-22,Say My Name,Destiny's Child,1,1,1,14,#
2000-03-22,Maria Maria,Santana Featuring The Product G&B,2,3,2,7,#
2000-03-22,Amazed,Lonestar,3,2,1,34,#
2000-03-22,Breathe,Faith Hill,4,4,3,21,#
2000-03-22,Bye Bye Bye,*NSYNC,5,5,5,9,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-03-22,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,6,6,13,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-03-22,That's The Way It Is,Celine Dion,7,7,6,20,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-03-22,I Knew I Loved You,Savage Garden,8,8,1,23,#
2000-03-22,Get It On Tonite,Montell Jordan,9,9,4,23,#
2000-03-22,Smooth,Santana Featuring Rob Thomas,10,10,1,35,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-03-29,Say My Name,Destiny's Child,1,1,1,15,#
2000-03-29,Maria Maria,Santana Featuring The Product G&B,2,2,2,8,#
